D366/D367
站名,日期,到达时间,停车时间,里程,二等座,一等座,无座
武汉,2017-03-28,起点站,07:35,0km,-,-,-
汉口,2017-03-28,07:53,08:05,36km,￥9.5,￥11.5,￥9.5
汉川,2017-03-28,08:28,08:30,82km,￥23.5,￥27.5,￥23.5
天门南,2017-03-28,08:45,08:47,119km,￥34.5,￥41.5,￥34.5
潜江,2017-03-28,09:07,09:09,170km,￥49.5,￥59.5,￥49.5
荆州,2017-03-28,09:35,09:37,240km,￥69.5,￥84.5,￥69.5
宜昌东,2017-03-28,10:12,10:21,328km,￥96.5,￥115.5,￥96.5
建始,2017-03-28,11:48,11:51,507km,￥148.5,￥178,￥148.5
恩施,2017-03-28,12:14,12:19,542km,￥158.5,￥190.5,￥158.5
利川,2017-03-28,12:54,12:57,603km,￥176.5,￥212.5,￥176.5
石柱县,2017-03-28,13:37,13:41,698km,￥204.5,￥245.5,￥204.5
涪陵北,2017-03-28,14:16,14:21,789km,￥231.5,￥277.5,￥231.5
重庆北,2017-03-28,14:58,15:07,881km,￥258.5,￥309.5,￥258.5
合川,2017-03-28,15:32,15:35,947km,￥279,￥334,￥279
潼南,2017-03-28,16:00,16:03,996km,￥294,￥352,￥294
大英东,2017-03-28,16:37,16:41,1075km,￥318.5,￥381.5,￥318.5
成都东,2017-03-28,17:28,终到站,1194km,￥355,￥425.5,￥355
